county_name,race_description,cand_name,precinct_code,cand_tot_votes
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10001,250
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10001,78
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10002,226
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10002,62
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10003,96
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10003,32
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10004,198
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10004,71
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10005,175
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10005,45
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10006,345
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10006,92
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10007,362
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10007,155
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10008,256
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10008,88
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10010,74
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10010,26
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10011,128
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10011,41
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10012,320
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10012,62
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10013,211
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10013,82
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10014,356
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10014,133
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10016,284
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10016,51
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10017,486
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10017,125
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10018,432
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10018,127
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,10019,588
ADAIR,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,10019,112
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,20110,175
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,20110,15
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,20120,187
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,20120,15
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,20140,346
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,20140,31
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,20220,358
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,20220,63
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,20230,251
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,20230,29
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,20310,273
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,20310,36
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,20320,155
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,20320,17
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,20330,188
ALFALFA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,20330,10
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30001,449
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30001,103
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30002,318
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30002,69
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30003,224
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30003,95
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30006,208
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30006,46
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30007,356
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30007,66
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30008,612
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30008,99
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30009,359
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30009,61
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30010,144
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30010,16
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30011,652
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30011,131
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30012,279
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30012,38
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30013,286
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30013,36
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30014,107
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30014,14
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30015,58
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30015,19
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30016,0
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30016,0
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30017,0
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30017,0
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30018,0
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30018,0
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,30019,32
ATOKA,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,30019,2
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,40011,173
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,40011,12
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,40013,117
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,40013,5
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,40023,763
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,40023,78
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,40025,158
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,40025,18
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,40026,39
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,40026,5
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,40031,246
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,40031,10
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,40033,497
BEAVER,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,40033,48
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50111,641
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50111,115
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50112,286
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50112,55
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50115,144
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50115,13
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50141,637
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50141,89
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50231,324
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50231,37
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50232,91
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50232,8
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50235,1512
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50235,213
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50242,267
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50242,40
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50320,420
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50320,65
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50330,372
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50330,26
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50332,802
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50332,121
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50333,686
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50333,153
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,50343,126
BECKHAM,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,50343,25
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,60002,589
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,60002,81
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,60007,485
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,60007,97
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,60010,245
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,60010,76
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,60011,126
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,60011,119
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,60012,733
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,60012,174
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,60016,102
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,60016,16
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,60017,327
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,60017,115
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,60020,234
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,60020,27
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,60022,43
BLAINE,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,60022,6
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70003,519
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70003,193
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70004,540
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70004,227
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70005,606
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70005,237
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70008,635
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70008,205
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70010,389
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70010,102
